date,year,season,trap_day,tot_days,trap_num,species_code,trap_status,genus,species
2017-07-26,2017,monsoon,1,4,F9,DIME,N,Dipodomys,merriami
2017-07-26,2017,monsoon,1,4,A5,PEER,N,Peromyscus,eremicus
2017-07-26,2017,monsoon,1,4,I4,PEER,N,Peromyscus,eremicus
2017-07-26,2017,monsoon,1,4,A4,SI,N,Sigmodon,sp.
2017-07-26,2017,monsoon,1,4,D7,SI,N,Sigmodon,sp.
2017-07-27,2017,monsoon,2,4,A5,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,A3,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,C1,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,B7,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,D6,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,D3,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,E8,PEER,N,Peromyscus,eremicus
2017-07-27,2017,monsoon,2,4,A8,SI,N,Sigmodon,sp.
2017-07-28,2017,monsoon,3,4,G5,DIME,N,Dipodomys,merriami
2017-07-28,2017,monsoon,3,4,E1,PEBO,N,Peromyscus,boylii
2017-07-28,2017,monsoon,3,4,B1,PEBO,R,Peromyscus,boylii
2017-07-28,2017,monsoon,3,4,E8,PEER,N,Peromyscus,eremicus
2017-07-28,2017,monsoon,3,4,C5,PEER,N,Peromyscus,eremicus
2017-07-28,2017,monsoon,3,4,A6,PEER,N,Peromyscus,eremicus
2017-07-28,2017,monsoon,3,4,A3,PEER,R,Peromyscus,eremicus
2017-07-28,2017,monsoon,3,4,H3,PEER,N,Peromyscus,eremicus
2017-07-28,2017,monsoon,3,4,D4,SI,N,Sigmodon,sp.
2017-07-28,2017,monsoon,3,4,B2,SI,N,Sigmodon,sp.
2017-07-28,2017,monsoon,3,4,I3,SI,N,Sigmodon,sp.
2017-07-29,2017,monsoon,4,4,D7,PEBO,N,Peromyscus,boylii
2017-07-29,2017,monsoon,4,4,C7,PEBO,R,Peromyscus,boylii
2017-07-29,2017,monsoon,4,4,C2,PEBO,R,Peromyscus,boylii
2017-07-29,2017,monsoon,4,4,F9,PEER,N,Peromyscus,eremicus
2017-07-29,2017,monsoon,4,4,F7,PEER,R,Peromyscus,eremicus
2017-07-29,2017,monsoon,4,4,E6,PEER,N,Peromyscus,eremicus
2017-07-29,2017,monsoon,4,4,E7,PEER,N,Peromyscus,eremicus
2017-07-29,2017,monsoon,4,4,H4,PEER,R,Peromyscus,eremicus
2017-07-29,2017,monsoon,4,4,H3,PEER,N,Peromyscus,eremicus
2017-07-29,2017,monsoon,4,4,A8,SI,R,Sigmodon,sp.
2017-07-29,2017,monsoon,4,4,A6,SI,N,Sigmodon,sp.
2017-07-29,2017,monsoon,4,4,A4,SI,R,Sigmodon,sp.
2017-07-29,2017,monsoon,4,4,C1,SI,N,Sigmodon,sp.
2017-07-29,2017,monsoon,4,4,H9,SI,N,Sigmodon,sp.
2017-10-24,2017,post-monsoon,1,4,E8,NEAL,N,Neotoma,albigula
