year,tx,genus,total_tx,habit,,,,,,,,,,,,,,,,
2017,Ambient,Aphaenogaster,1,seed-harvester,,,,,,,,,,,,,,,,
2017,Ambient,Camponotus,120,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Ambient,Crematogaster,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Ambient,Dorymyrmex,8,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Ambient,Forelius,24,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Ambient,Formica,20,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Ambient,Odontomachus,92,arthopod predator,,,,,,,,,,,,,,,,
2017,Ambient,Pheidole,220,seed-harvester,,,,,,,,,,,,,,,,
2017,Ambient,Pogonomyrmex,1,seed-harvester,,,,,,,,,,,,,,,,
2017,Ambient,Solenopsis,55,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Ambient,Tetramorium,11,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Aphaenogaster,2,seed-harvester,,,,,,,,,,,,,,,,
2017,Drought,Camponotus,67,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Crematogaster,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Dorymyrmex,6,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Forelius,440,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Formica,36,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Odontomachus,30,arthopod predator,,,,,,,,,,,,,,,,
2017,Drought,Pheidole,164,seed-harvester,,,,,,,,,,,,,,,,
2017,Drought,Pogonomyrmex,2,seed-harvester,,,,,,,,,,,,,,,,
2017,Drought,Solenopsis,37,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Drought,Tetramorium,38,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Camponotus,125,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Dorymyrmex,10,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Forelius,19,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Formica,48,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Odontomachus,58,arthopod predator,,,,,,,,,,,,,,,,
2017,Wet,Pheidole,368,seed-harvester,,,,,,,,,,,,,,,,
2017,Wet,Pogonomyrmex,1,seed-harvester,,,,,,,,,,,,,,,,
2017,Wet,Solenopsis,21,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Tapinoma,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2017,Wet,Tetramorium,20,general forager/exudate-feeder,,,,,,,,,,,,,,,,
