samp_date,sample,month,season,year,block,tx,clip,order,genus,species,number
9/15/2018,10ROE,September,monsoon,2018,10,Drought,Unclipped,Hymenoptera,Acromyrmex,,1
9/15/2018,10ROE,September,monsoon,2018,10,Drought,Unclipped,Hymenoptera,Acromyrmex,,1
10/27/2018,1CE,October,monsoon,2018,1,Ambient,Clipped,Hymenoptera,Acromyrmex,,1
9/15/2018,1IRE,September,monsoon,2018,1,Wet,Unclipped,Hymenoptera,Acromyrmex,,1
8/20/2018,7IRW,August,monsoon,2018,7,Wet,Clipped,Hymenoptera,Acromyrmex,,1
9/15/2018,7ROE,September,monsoon,2018,7,Drought,Unclipped,Hymenoptera,Acromyrmex,,1
9/15/2018,7ROW,September,monsoon,2018,7,Drought,Clipped,Hymenoptera,Acromyrmex,,1
9/15/2018,7ROW,September,monsoon,2018,7,Drought,Clipped,Hymenoptera,Acromyrmex,,1
8/20/2018,9IRW,August,monsoon,2018,9,Wet,Clipped,Hymenoptera,Acromyrmex,,1
8/20/2018,9ROE,August,monsoon,2018,9,Drought,Clipped,Hymenoptera,Acromyrmex,,1
11/15/2016,7CE,November,,2016,7,Ambient,Clipped,Hymenoptera,Aphaenogaster,,1
11/15/2016,7CW,November,,2016,7,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
5/15/2017,10ROW,May,,2017,10,Drought,Clipped,Hymenoptera,Aphaenogaster,,1
7/15/2017,10ROW,July,,2017,10,Drought,Clipped,Hymenoptera,Aphaenogaster,,3
7/15/2017,1CW,July,,2017,1,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
7/15/2017,1IRW,July,,2017,1,Wet,Clipped,Hymenoptera,Aphaenogaster,,1
7/15/2017,2ROW,July,,2017,2,Drought,Clipped,Hymenoptera,Aphaenogaster,,1
7/15/2017,3CW,July,,2017,3,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,4
8/15/2017,3CW,August,monsoon,2017,3,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
7/15/2017,5CE,July,,2017,5,Ambient,Clipped,Hymenoptera,Aphaenogaster,,5
6/15/2017,6CE,June,,2017,6,Ambient,Clipped,Hymenoptera,Aphaenogaster,,5
11/15/2017,6CE,November,,2017,6,Ambient,Clipped,Hymenoptera,Aphaenogaster,,7
6/15/2017,6CW,June,,2017,6,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
11/15/2017,6CW,November,,2017,6,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,3
4/15/2017,7CE,April,,2017,7,Ambient,Clipped,Hymenoptera,Aphaenogaster,,8
11/15/2017,7CE,November,,2017,7,Ambient,Clipped,Hymenoptera,Aphaenogaster,,3
12/15/2017,7CE,December,,2017,7,Ambient,Clipped,Hymenoptera,Aphaenogaster,,1
3/18/2017,7CW,March,,2017,7,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
4/15/2017,7CW,April,,2017,7,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,3
5/15/2017,7CW,May,,2017,7,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
11/15/2017,7CW,November,,2017,7,Ambient,Unclipped,Hymenoptera,Aphaenogaster,,1
9/15/2017,7ROE,September,monsoon,2017,7,Drought,Unclipped,Hymenoptera,Aphaenogaster,,1
9/15/2017,9ROE,September,monsoon,2017,9,Drought,Clipped,Hymenoptera,Aphaenogaster,,1
9/21/2019,3 IRE,September,monsoon,2019,3,Wet,Clipped,Hymenoptera,Aphaenogaster,,1
10/18/2019,6 CE,October,monsoon,2019,6,Ambient,Clipped,Hymenoptera,Aphaenogaster,,1
8/20/2018,4ROE,August,monsoon,2018,4,Drought,Clipped,Hymenoptera,Aphaenogaster,,1
8/20/2018,5ROW,August,monsoon,2018,5,Drought,Clipped,Hymenoptera,Aphaenogaster,,1
9/15/2018,6CE,September,monsoon,2018,6,Ambient,Clipped,Hymenoptera,Aphaenogaster,,1
10/21/2016,10CE,October,monsoon,2016,10,Ambient,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,10IRE,October,monsoon,2016,10,Wet,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,10IRW,October,monsoon,2016,10,Wet,Clipped,Hymenoptera,Camponotus,,3
10/21/2016,10ROW,October,monsoon,2016,10,Drought,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,1CE,October,monsoon,2016,1,Ambient,Clipped,Hymenoptera,Camponotus,,1
10/21/2016,1CW,October,monsoon,2016,1,Ambient,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,1IRE,October,monsoon,2016,1,Wet,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,1ROE,October,monsoon,2016,1,Drought,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,1ROW,October,monsoon,2016,1,Drought,Clipped,Hymenoptera,Camponotus,,4
10/21/2016,2CE,October,monsoon,2016,2,Ambient,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,2CW,October,monsoon,2016,2,Ambient,Unclipped,Hymenoptera,Camponotus,,3
10/21/2016,2IRW,October,monsoon,2016,2,Wet,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,2ROE,October,monsoon,2016,2,Drought,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,3CE,October,monsoon,2016,3,Ambient,Clipped,Hymenoptera,Camponotus,,7
10/21/2016,3CW,October,monsoon,2016,3,Ambient,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,3IRE,October,monsoon,2016,3,Wet,Clipped,Hymenoptera,Camponotus,,4
10/21/2016,3IRW,October,monsoon,2016,3,Wet,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,3ROE,October,monsoon,2016,3,Drought,Clipped,Hymenoptera,Camponotus,,1
10/21/2016,3ROW,October,monsoon,2016,3,Drought,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,4IRE,October,monsoon,2016,4,Wet,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,5CE,October,monsoon,2016,5,Ambient,Clipped,Hymenoptera,Camponotus,,1
10/21/2016,5CW,October,monsoon,2016,5,Ambient,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,5IRE,October,monsoon,2016,5,Wet,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,5IRW,October,monsoon,2016,5,Wet,Clipped,Hymenoptera,Camponotus,,3
10/21/2016,5ROW,October,monsoon,2016,5,Drought,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,5ROW,October,monsoon,2016,5,Drought,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,6CW,October,monsoon,2016,6,Ambient,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,6IRW,October,monsoon,2016,6,Wet,Unclipped,Hymenoptera,Camponotus,,3
10/21/2016,6ROE,October,monsoon,2016,6,Drought,Clipped,Hymenoptera,Camponotus,,1
10/21/2016,6ROW,October,monsoon,2016,6,Drought,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,7CE,October,monsoon,2016,7,Ambient,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,7CW,October,monsoon,2016,7,Ambient,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,7IRE,October,monsoon,2016,7,Wet,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,7IRW,October,monsoon,2016,7,Wet,Clipped,Hymenoptera,Camponotus,,4
10/21/2016,7ROE,October,monsoon,2016,7,Drought,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,7ROW,October,monsoon,2016,7,Drought,Clipped,Hymenoptera,Camponotus,,2
10/21/2016,8CE,October,monsoon,2016,8,Ambient,Clipped,Hymenoptera,Camponotus,,3
10/21/2016,8CW,October,monsoon,2016,8,Ambient,Unclipped,Hymenoptera,Camponotus,,3
10/21/2016,8IRW,October,monsoon,2016,8,Wet,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,8ROW,October,monsoon,2016,8,Drought,Clipped,Hymenoptera,Camponotus,,3
10/21/2016,9CW,October,monsoon,2016,9,Ambient,Unclipped,Hymenoptera,Camponotus,,1
10/21/2016,9IRE,October,monsoon,2016,9,Wet,Unclipped,Hymenoptera,Camponotus,,2
10/21/2016,9IRW,October,monsoon,2016,9,Wet,Clipped,Hymenoptera,Camponotus,,2
11/15/2016,10CE,November,,2016,10,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,10IRE,November,,2016,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,10IRW,November,,2016,10,Wet,Clipped,Hymenoptera,Camponotus,sp 2,3
11/15/2016,10ROW,November,,2016,10,Drought,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,1CE,November,,2016,1,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,1IRE,November,,2016,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
11/15/2016,1ROE,November,,2016,1,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,1ROW,November,,2016,1,Drought,Clipped,Hymenoptera,Camponotus,sp 3,4
11/15/2016,2CE,November,,2016,2,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,2CW,November,,2016,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,4
11/15/2016,2IRW,November,,2016,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,2IRW,November,,2016,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
11/15/2016,2ROE,November,,2016,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,2
11/15/2016,3CE,November,,2016,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,7
