block,precip,clip,excl,side,rep,2019-07-31,2019-08-01,2019-08-02,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-18,2019-11-17,2019-12-21,2020-01-18,2020-08-29,,,,,
1,Control,Clipped,Control,N,1,0,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
1,Control,Clipped,Ants,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Clipped,Rodents,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Clipped,Total,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Clipped,Control,S,1,0,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
1,Control,Clipped,Ants,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Clipped,Rodents,S,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Clipped,Total,S,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Unclipped,Control,N,1,0,0,1,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
1,Control,Unclipped,Ants,N,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Unclipped,Rodents,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Unclipped,Total,N,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Unclipped,Control,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Unclipped,Ants,S,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Unclipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Unclipped,Total,S,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Clipped,Control,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,RO,Clipped,Ants,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,RO,Clipped,Rodents,N,1,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Clipped,Total,N,1,0,0,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Clipped,Control,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,RO,Clipped,Ants,S,1,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Clipped,Rodents,S,1,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Clipped,Total,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,RO,Unclipped,Control,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,RO,Unclipped,Ants,N,1,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Unclipped,Rodents,N,1,0,0,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Unclipped,Total,N,1,0,0,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Unclipped,Control,S,1,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
1,RO,Unclipped,Ants,S,1,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Unclipped,Rodents,S,1,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,RO,Unclipped,Total,S,1,0,0,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Clipped,Control,N,1,0,0,0,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
1,IR,Clipped,Ants,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,IR,Clipped,Rodents,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,IR,Clipped,Total,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,IR,Clipped,Control,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Clipped,Ants,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Clipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,IR,Clipped,Total,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Unclipped,Control,N,1,0,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
1,IR,Unclipped,Ants,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,IR,Unclipped,Rodents,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Unclipped,Total,N,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dead?,,,,,
1,IR,Unclipped,Control,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Unclipped,Ants,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,IR,Unclipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,IR,Unclipped,Total,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
1,Control,Clipped,Control,N,2,0,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
1,Control,Clipped,Ants,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Clipped,Rodents,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,Control,Clipped,Total,N,2,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
