"ObsID","sampID","plotID","block","precip","clip","excl","date","cohort","survival","died","tot_germination","herb_lived","herb_died","tot_herbivory","granivory","res_surv","sim_surv","sim_fit_surv","pred_surv"
"1","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-07-15","1",0,0,0,0,0,0,0,-0.0162667195380022,0.366043195044622,-0.0162667195380022,0.0162667195380022
"2","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-07-16","1",0,0,0,0,0,0,0,-0.300268014069774,0.245486377091147,-0.300268014069774,0.300268014069774
"3","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-07-17","1",8,0,8,0,0,0,0,2.49874398676401,0.883933482600143,2.49874398676401,5.50125601323599
"4","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-07-18","1",8,0,8,0,0,0,0,1.46154292987285,0.877146274809726,1.46154292987285,6.53845707012715
"5","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-07-21","1",8,0,8,3,0,3,0,1.10759865922996,0.890625219880836,1.10759865922996,6.89240134077004
"6","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-07-28","1",8,0,8,5,0,5,0,1.11893526819275,0.891399988518329,1.11893526819275,6.88106473180725
"7","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-08-04","1",8,0,8,5,0,5,0,1.17660022545188,0.888462543121539,1.17660022545188,6.82339977454812
"8","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-08-11","1",8,0,8,6,0,6,0,1.28053965398075,0.890731704710517,1.28053965398075,6.71946034601925
"9","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-08-18","1",8,0,8,7,0,7,0,1.65379960037233,0.903963758363621,1.65379960037233,6.34620039962767
"10","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-08-25","1",5,3,8,4,0,4,0,-0.261534023607227,0.822371375196381,-0.261534023607227,5.26153402360723
"11","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-09-01","1",5,3,8,4,0,4,0,0.0124869317505114,0.835474461141275,0.0124869317505114,4.98751306824949
"12","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-09-08","1",5,3,8,5,0,5,0,0.251861862331728,0.812348551448435,0.251861862331728,4.74813813766827
"13","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-09-15","1",4,4,8,4,0,4,0,-0.215754333102382,0.79132183185732,-0.215754333102382,4.21575433310238
"14","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-09-22","1",3,5,8,3,0,3,0,-0.690900545677833,0.705060416859109,-0.690900545677833,3.69090054567783
"15","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-09-29","1",3,5,8,3,0,3,0,-0.315751817145664,0.735425327940844,-0.315751817145664,3.31575181714566
"16","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2017-11-17","1",0,8,8,0,0,0,0,-2.43662698792581,0.323064052473754,-2.43662698792581,2.43662698792581
"17","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-02-04","1",0,8,8,0,0,0,0,-2.26721054505258,0.0810494326092303,-2.26721054505258,2.26721054505258
"18","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-03-02","1",0,8,8,0,0,0,0,-2.19608006832209,0.334482835279778,-2.19608006832209,2.19608006832209
"19","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-04-14","1",0,8,8,0,0,0,0,-2.17162374277373,0.332061869089492,-2.17162374277373,2.17162374277373
"20","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-05-12","1",0,8,8,0,0,0,0,-2.12606714489172,0.0393168848433997,-2.12606714489172,2.12606714489172
"21","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-06-15","1",0,8,8,0,0,0,0,-1.7938887326906,0.182851165090688,-1.7938887326906,1.7938887326906
"22","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-10","2",0,0,0,0,0,0,0,-0.010919241993303,0.165821732553188,-0.010919241993303,0.010919241993303
"23","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-11","2",0,0,0,0,0,0,0,-0.0247917422140948,0.106272836950608,-0.0247917422140948,0.0247917422140948
"24","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-12","2",5,0,5,0,0,0,0,1.11327980807363,0.807732053680113,1.11327980807363,3.88672019192637
"25","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-13","2",6,0,6,0,0,0,0,1.1540349325675,0.860418699404225,1.1540349325675,4.8459650674325
"26","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-16","1",0,8,8,0,0,0,0,-1.56888383068689,0.349383200367447,-1.56888383068689,1.56888383068689
"27","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-18","2",6,0,6,0,0,0,0,0.898051521638487,0.82768654896412,0.898051521638487,5.10194847836151
"28","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-26","2",6,0,6,0,1,1,0,1.27123863720905,0.840443643153645,1.27123863720905,4.72876136279095
"29","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-07-30","2",3,3,6,1,2,3,0,0.511615282632943,0.734688115605153,0.511615282632943,2.48838471736706
"30","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-08-13","2",3,3,6,0,3,3,0,1.00581923920517,0.669840387974866,1.00581923920517,1.99418076079483
"31","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-08-18","1",0,8,8,0,0,0,0,-1.53611014786423,0.143296715857461,-1.53611014786423,1.53611014786423
"32","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-08-20","2",3,3,6,0,3,3,0,1.04800782978838,0.703884544547647,1.04800782978838,1.95199217021162
"33","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-08-27","2",3,3,6,0,3,3,0,1.03204019787023,0.72068132057786,1.03204019787023,1.96795980212977
"34","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-09-03","2",3,3,6,0,3,3,0,1.03118826289484,0.741021975653246,1.03118826289484,1.96881173710516
"35","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-09-15","1",0,8,8,0,0,0,0,-1.52788897667101,0.054417316257488,-1.52788897667101,1.52788897667101
"36","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-09-17","2",3,3,6,0,3,3,0,1.05007023058739,0.750406841943041,1.05007023058739,1.94992976941261
"37","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-09-24","2",3,3,6,0,3,3,0,1.10459323857217,0.715944060488138,1.10459323857217,1.89540676142783
"38","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-10-01","2",3,3,6,0,3,3,0,1.10381376492785,0.699045926177874,1.10381376492785,1.89618623507215
"39","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-10-13","2",3,3,6,0,3,3,0,1.10348264457334,0.700338650890626,1.10348264457334,1.89651735542666
"40","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-10-14","1",0,8,8,0,0,0,0,-1.52387319110557,0.14929553305381,-1.52387319110557,1.52387319110557
"41","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-11-17","1",0,8,8,0,0,0,0,-1.51992161366008,0.269168934689835,-1.51992161366008,1.51992161366008
"42","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-11-17","2",3,3,6,0,3,3,0,1.10963589910214,0.687990497034043,1.10963589910214,1.89036410089786
"43","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-12-15","1",0,8,8,0,0,0,0,-1.51990908049969,0.134644516477594,-1.51990908049969,1.51990908049969
"44","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2018-12-15","2",3,3,6,0,3,3,0,1.11767086298196,0.677878450965975,1.11767086298196,1.88232913701804
"45","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2019-01-19","1",0,8,8,0,0,0,0,-1.5198837821224,0.0341767148182262,-1.5198837821224,1.5198837821224
"46","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2019-01-19","2",3,3,6,0,3,3,0,1.14515559638504,0.740316446651705,1.14515559638504,1.85484440361496
"47","1_Control_Clipped_Control","1_Control_Clipped","1","Control","Clipped","Control","2019-02-16","1",0,8,8,0,0,0,0,-1.51168297461143,0.128115473693702,-1.51168297461143,1.51168297461143
