"","ObsID","plotID","sampID","block","precip","clip","excl","date","cohort","no_germ","survival","died","tot_germination","surv_perc","year"
"1","1","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-07-28","1",2,8,0,8,1,"1"
"2","2","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-08-04","1",2,8,0,8,1,"1"
"3","3","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-08-11","1",2,8,0,8,1,"1"
"4","4","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-08-18","1",2,8,0,8,1,"1"
"5","5","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-08-25","1",2,5,3,8,0.625,"1"
"6","6","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-09-01","1",2,5,3,8,0.625,"1"
"7","7","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-09-08","1",2,5,3,8,0.625,"1"
"8","8","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-09-15","1",2,4,4,8,0.5,"1"
"9","9","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-09-22","1",2,3,5,8,0.375,"1"
"10","10","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-09-29","1",2,3,5,8,0.375,"1"
"11","11","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2017-11-17","1",2,0,8,8,0,"1"
"12","12","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2018-02-04","1",2,0,8,8,0,"1"
"13","13","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2018-03-02","1",2,0,8,8,0,"1"
"14","14","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2018-04-14","1",2,0,8,8,0,"1"
"15","15","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2018-05-12","1",2,0,8,8,0,"1"
"16","16","1_Control","1_Control_Clipped_Control","1","Control","Clipped","Control","2018-06-15","1",2,0,8,8,0,"1"
"17","17","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-07-28","1",4,6,0,6,1,"1"
"18","18","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-08-04","1",4,6,0,6,1,"1"
"19","19","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-08-11","1",4,6,0,6,1,"1"
"20","20","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-08-18","1",4,6,0,6,1,"1"
"21","21","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-08-25","1",4,1,5,6,0.166666666666667,"1"
"22","22","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-09-01","1",4,1,5,6,0.166666666666667,"1"
"23","23","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-09-08","1",4,1,5,6,0.166666666666667,"1"
"24","24","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-09-15","1",4,1,5,6,0.166666666666667,"1"
"25","25","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-09-22","1",4,0,6,6,0,"1"
"26","26","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-09-29","1",4,0,6,6,0,"1"
"27","27","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2017-11-17","1",4,0,6,6,0,"1"
"28","28","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2018-02-04","1",4,0,6,6,0,"1"
"29","29","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2018-03-02","1",4,0,6,6,0,"1"
"30","30","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2018-04-14","1",4,0,6,6,0,"1"
"31","31","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2018-05-12","1",4,0,6,6,0,"1"
"32","32","1_Control","1_Control_Clipped_Ants","1","Control","Clipped","Ants","2018-06-15","1",4,0,6,6,0,"1"
"33","33","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-07-28","1",1,9,0,9,1,"1"
"34","34","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-08-04","1",1,9,0,9,1,"1"
"35","35","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-08-11","1",1,9,0,9,1,"1"
"36","36","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-08-18","1",1,9,0,9,1,"1"
"37","37","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-08-25","1",1,9,0,9,1,"1"
"38","38","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-09-01","1",1,9,0,9,1,"1"
"39","39","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-09-08","1",1,9,0,9,1,"1"
"40","40","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-09-15","1",1,8,1,9,0.888888888888889,"1"
"41","41","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-09-22","1",1,6,3,9,0.666666666666667,"1"
"42","42","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-09-29","1",1,3,6,9,0.333333333333333,"1"
"43","43","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2017-11-17","1",1,1,8,9,0.111111111111111,"1"
"44","44","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2018-02-04","1",1,1,8,9,0.111111111111111,"1"
"45","45","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2018-03-02","1",1,1,8,9,0.111111111111111,"1"
"46","46","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2018-04-14","1",1,1,8,9,0.111111111111111,"1"
"47","47","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2018-05-12","1",1,1,8,9,0.111111111111111,"1"
"48","48","1_Control","1_Control_Clipped_Rodents","1","Control","Clipped","Rodents","2018-06-15","1",1,1,8,9,0.111111111111111,"1"
"49","49","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-07-28","1",2,8,0,8,1,"1"
"50","50","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-08-04","1",2,8,0,8,1,"1"
"51","51","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-08-11","1",2,8,0,8,1,"1"
"52","52","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-08-18","1",2,8,0,8,1,"1"
"53","53","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-08-25","1",2,8,0,8,1,"1"
"54","54","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-09-01","1",2,8,0,8,1,"1"
"55","55","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-09-08","1",2,8,0,8,1,"1"
"56","56","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-09-15","1",2,8,0,8,1,"1"
"57","57","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-09-22","1",2,8,0,8,1,"1"
"58","58","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-09-29","1",2,8,0,8,1,"1"
"59","59","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2017-11-17","1",2,2,6,8,0.25,"1"
"60","60","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2018-02-04","1",2,2,6,8,0.25,"1"
"61","61","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2018-03-02","1",2,1,7,8,0.125,"1"
