STATION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
DESGR,1932,NA,NA,NA,28,0,13,455,349,38,191,0,179
DESGR,1933,114,45,0,20,0,31,320,253,196,66,92,59
DESGR,1934,70,86,67,18,14,49,132,477,67,0,71,245
DESGR,1935,198,129,181,0,18,0,137,683,304,0,246,154
DESGR,1936,59,144,95,1,0,24,323,205,203,30,109,139
DESGR,1937,218,163,79,5,6,17,337,295,131,38,0,129
DESGR,1938,76,115,110,8,16,175,473,339,158,1,17,54
DESGR,1939,90,171,28,36,0,0,317,385,172,79,126,70
DESGR,1940,19,253,4,31,21,259,209,297,539,68,90,212
DESGR,1941,128,138,113,144,72,0,414,232,347,115,22,237
DESGR,1942,123,103,26,126,0,0,256,222,196,127,0,26
DESGR,1943,160,14,110,0,4,8,331,594,192,104,0,70
DESGR,1944,83,170,174,38,27,16,228,335,158,151,287,156
DESGR,1945,56,34,71,36,0,0,389,602,46,156,NA,51
DESGR,1946,348,17,48,37,0,0,403,531,321,89,150,52
DESGR,1947,36,11,33,11,49,9,202,330,177,56,89,69
DESGR,1948,0,258,37,0,0,16,291,248,196,97,4,70
DESGR,1949,317,77,33,31,0,20,314,341,168,110,6,222
DESGR,1950,28,161,28,0,6,48,890,179,25,2,0,0
DESGR,1951,244,44,20,271,5,0,234,398,68,240,101,162
DESGR,1952,81,10,294,159,0,67,96,279,95,0,243,40
DESGR,1953,0,170,70,48,18,53,383,197,0,3,9,6
DESGR,1954,106,57,208,0,87,99,680,598,143,41,0,13
DESGR,1955,233,45,2,NA,NA,NA,391,1430,15,86,0,31
DESGR,1956,152,138,0,26,0,4,375,100,52,NA,NA,42
DESGR,1957,216,57,63,48,NA,30,456,484,18,215,42,52
DESGR,1958,0,145,328,70,NA,32,552,576,138,42,182,0
DESGR,1959,NA,117,0,NA,0,97,461,484,23,175,68,206
DESGR,1960,271,86,24,0,0,30,286,160,196,131,3,133
DESGR,1961,94,9,32,0,0,57,219,568,331,313,40,176
DESGR,1962,184,77,72,4,0,23,477,132,173,2,74,186
DESGR,1963,78,90,55,59,1,0,255,330,198,71,316,71
DESGR,1964,5,24,113,42,8,39,381,384,589,84,96,71
DESGR,1965,77,123,12,78,14,16,309,223,93,0,101,535
DESGR,1966,292,223,9,23,24,14,396,390,396,19,66,24
DESGR,1967,9,16,63,61,26,112,307,260,174,114,141,600
DESGR,1968,51,144,132,19,1,0,433,231,3,9,89,97
DESGR,1969,32,100,34,7,12,3,369,445,71,0,79,35
DESGR,1970,0,48,167,8,8,39,214,353,225,29,0,38
DESGR,1971,0,116,4,60,6,11,242,445,238,196,130,368
DESGR,1972,0,0,4,0,17,123,335,109,60,381,119,60
DESGR,1973,80,135,335,15,0,74,357,89,6,0,53,0
DESGR,1974,160,0,53,0,2,0,791,249,136,220,26,15
DESGR,1975,74,10,142,78,0,0,292,213,183,3,83,62
DESGR,1976,17,59,75,107,20,8,8,147,281,60,70,34
DESGR,1977,264,12,89,25,15,50,236,201,146,310,25,115
DESGR,1978,210,195,145,5,55,15,475,175,100,365,150,389
DESGR,1979,270,40,139,6,82,66,132,588,33,17,17,22
DESGR,1980,66,396,1,14,0,0,377,248,202,4,0,25
DESGR,1981,85,174,142,18,40,61,639,66,128,119,83,NA
DESGR,1982,139,65,118,3,13,2,373,549,268,1,69,301
DESGR,1983,239,68,274,63,13,0,267,508,548,365,151,47
DESGR,1984,129,0,0,100,33,206,751,447,429,127,51,420
DESGR,1985,261,260,35,59,3,20,488,376,184,281,110,22
DESGR,1986,0,192,81,0,37,101,242,454,44,74,20,183
DESGR,1987,70,233,37,120,166,0,162,316,165,65,70,305
DESGR,1988,116,50,36,157,0,39,753,471,11,402,36,56
DESGR,1989,149,47,116,0,12,11,341,142,57,345,5,81
DESGR,1990,94,119,47,14,13,171,920,314,249,8,62,155
DESGR,1991,96,231,157,0,4,52,174,161,170,33,125,270
DESGR,1992,116,66,293,37,132,1,369,482,143,NA,11,435
DESGR,1993,265,149,102,2,49,0,166,494,89,96,140,22
DESGR,1994,28,105,198,23,0,112,122,182,281,69,310,373
DESGR,1995,100,124,91,40,2,0,30,165,149,48,67,60
DESGR,1996,21,67,36,0,0,19,569,399,245,170,25,6
DESGR,1997,182,58,1,46,9,7,58,311,228,33,72,281
