date,year,month,tmin,tmean,tmax
1932-01,1932,1,-1.8,5.8,13.3
1932-02,1932,2,3.9,11.3,18.8
1932-03,1932,3,5.1,13.3,21.5
1932-04,1932,4,8.7,17.4,26.1
1932-05,1932,5,11.9,20.8,29.6
1932-06,1932,6,16.9,25.3,33.8
1932-07,1932,7,19.4,26.1,32.8
1932-08,1932,8,19.3,25.7,32.1
1932-09,1932,9,17.5,24.6,31.7
1932-10,1932,10,10.1,17.7,25.3
1932-11,1932,11,6.1,15.2,24.3
1932-12,1932,12,0.5,7.6,14.6
1933-01,1933,1,0,7.3,14.6
1933-02,1933,2,-0.2,6.9,13.9
1933-03,1933,3,4.3,13.6,22.8
1933-04,1933,4,6.5,14.5,22.4
1933-05,1933,5,9.8,18.1,26.5
1933-06,1933,6,18,25.9,33.7
1933-07,1933,7,20.5,27.5,34.5
1933-08,1933,8,19.8,26.4,33
1933-09,1933,9,17.9,24.8,31.6
1933-10,1933,10,13.1,20.2,27.3
1933-11,1933,11,6.7,14.6,22.5
1933-12,1933,12,3,11.3,19.5
1934-01,1934,1,0.7,8.7,16.7
1934-02,1934,2,4.7,12.2,19.7
1934-03,1934,3,8.6,16.6,24.7
1934-04,1934,4,10.6,18.4,26.3
1934-05,1934,5,15.3,23.4,31.5
1934-06,1934,6,16.3,24.7,33.1
1934-07,1934,7,20.4,27.6,34.7
1934-08,1934,8,18.5,24.5,30.4
1934-09,1934,9,17.2,24.2,31.3
1934-10,1934,10,12.6,20.7,28.8
1934-11,1934,11,6,13.2,20.4
1934-12,1934,12,3.6,10.5,17.3
1935-01,1935,1,3.7,10.3,17
1935-02,1935,2,3.1,9.9,16.7
1935-03,1935,3,4.4,11.8,19.2
1935-04,1935,4,8.7,16.6,24.5
1935-05,1935,5,10.6,18.5,26.4
1935-06,1935,6,18.6,26.5,34.4
1935-07,1935,7,20.3,27.3,34.2
1935-08,1935,8,19.1,24.6,30.1
1935-09,1935,9,16.5,22.6,28.8
1935-10,1935,10,11,18.9,26.8
1935-11,1935,11,4.6,11.8,19
1935-12,1935,12,2.4,9,15.6
1936-01,1936,1,1.9,9.1,16.2
1936-02,1936,2,3.2,9.6,16
1936-03,1936,3,7,13.6,20.3
1936-04,1936,4,10.3,18,25.7
1936-05,1936,5,15.1,22.8,30.6
1936-06,1936,6,19.1,27.3,35.5
1936-07,1936,7,20.5,27.5,34.4
1936-08,1936,8,19.3,25.5,31.8
1936-09,1936,9,16.1,22.7,29.2
1936-10,1936,10,11.7,18.6,25.4
1936-11,1936,11,7.3,13.2,19.1
1936-12,1936,12,2.5,8.9,15.4
1937-01,1937,1,-2.7,3.5,9.6
1937-02,1937,2,3.3,10,16.8
1937-03,1937,3,4.5,11.6,18.6
1937-04,1937,4,7.4,15.8,24.1
1937-05,1937,5,13.8,21.8,29.7
1937-06,1937,6,17.5,25.3,33.1
1937-07,1937,7,20.2,27.1,34
1937-08,1937,8,20.2,26.3,32.5
1937-09,1937,9,17.8,24.1,30.5
1937-10,1937,10,11.8,19.7,27.6
1937-11,1937,11,5.5,13.9,22.4
1937-12,1937,12,4.4,10.6,16.8
1938-01,1938,1,2.1,9.5,16.9
1938-02,1938,2,3.6,10.3,17
1938-03,1938,3,4.6,12,19.4
1938-04,1938,4,7.5,16.1,24.8
1938-05,1938,5,12.7,20.6,28.6
1938-06,1938,6,18.1,25.9,33.7
1938-07,1938,7,19.2,25.3,31.4
1938-08,1938,8,18.7,24.9,31
1938-09,1938,9,17.6,23.9,30.3
1938-10,1938,10,10.9,18.6,26.3
1938-11,1938,11,3,11.3,19.6
1938-12,1938,12,4.3,10.7,17
1939-01,1939,1,1.6,8,14.4
1939-02,1939,2,-2,4.9,11.8
1939-03,1939,3,4.7,12.7,20.7
1939-04,1939,4,8.6,17,25.4
1939-05,1939,5,13.2,21.5,29.9
1939-06,1939,6,19,26.7,34.4
1939-07,1939,7,19.9,26.5,33.2
1939-08,1939,8,18.9,25.1,31.4
1939-09,1939,9,16.7,22.9,29
1939-10,1939,10,9.8,17.3,24.7
1939-11,1939,11,8.7,14.3,20
1939-12,1939,12,5.2,12,18.9
1940-01,1940,1,3.1,9.5,15.9
1940-02,1940,2,3.2,9.4,15.7
1940-03,1940,3,6,13.4,20.8
1940-04,1940,4,8.8,16,23.3
1940-05,1940,5,14,21.8,29.7
1940-06,1940,6,18.1,25.7,33.4
1940-07,1940,7,20.3,27.2,34.1
1940-08,1940,8,19.2,25.7,32.2
1940-09,1940,9,17.3,23.6,29.8
1940-10,1940,10,12.4,19,25.6
1940-11,1940,11,5.2,12,18.9
1940-12,1940,12,6.1,11.8,17.4
1941-01,1941,1,3.2,8.8,14.4
1941-02,1941,2,4.9,11.3,17.7
1941-03,1941,3,5,11.5,18.1
1941-04,1941,4,5.9,12.8,19.6
1941-05,1941,5,11.3,19.5,27.6
1941-06,1941,6,16.5,24.4,32.3
1941-07,1941,7,20.2,26.9,33.6
1941-08,1941,8,18.4,24.8,31.2
1941-09,1941,9,15.9,22.8,29.6
1941-10,1941,10,9.9,16.9,23.9
1941-11,1941,11,6.7,14,21.4
1941-12,1941,12,3,9.5,16.1
1942-01,1942,1,2.8,9.8,16.8
1942-02,1942,2,2,8.7,15.5
1942-03,1942,3,3.3,11.2,19.1
1942-04,1942,4,7.4,15.2,23.1
1942-05,1942,5,11.9,20.5,29
1942-06,1942,6,17.7,25.9,34.2
1942-07,1942,7,21,28.3,35.6
1942-08,1942,8,19.2,25.7,32.1
1942-09,1942,9,17.2,24.1,31
1942-10,1942,10,11.1,17.9,24.8
1942-11,1942,11,7.6,15.2,22.9
1942-12,1942,12,3.7,10.7,17.8
1943-01,1943,1,3.4,9.7,16.1
1943-02,1943,2,4.9,12.5,20
1943-03,1943,3,6.6,13.8,21
1943-04,1943,4,10.5,18.7,26.8
1943-05,1943,5,13.9,22.1,30.2
1943-06,1943,6,18.2,25.5,32.8
1943-07,1943,7,20.5,27.3,34.1
1943-08,1943,8,18.9,24.4,30
1943-09,1943,9,17.8,24.4,31
1943-10,1943,10,11.7,18.9,26.1
1943-11,1943,11,6.9,14.5,22.1
1943-12,1943,12,2.5,8.9,15.4
1944-01,1944,1,0.8,8.1,15.4
1944-02,1944,2,1.3,8.1,15
1944-03,1944,3,4,11.4,18.8
1944-04,1944,4,6.6,14.5,22.4
1944-05,1944,5,12.2,20,27.8
1944-06,1944,6,15.4,24,32.6
1944-07,1944,7,20.2,27.1,34.1
1944-08,1944,8,20.2,26.6,33.1
1944-09,1944,9,16.5,23.3,30.1
1944-10,1944,10,12.9,20.1,27.3
1944-11,1944,11,3.8,10.5,17.3
1944-12,1944,12,2.5,9.6,16.7
1945-01,1945,1,1.7,8.1,14.5
1945-02,1945,2,2.8,10,17.1
1945-03,1945,3,2.6,9.8,16.9
1945-04,1945,4,7.2,14.9,22.5
1945-05,1945,5,12.3,20.5,28.6
1945-06,1945,6,14.6,23.4,32.3
1945-07,1945,7,19.6,26.6,33.6
1945-08,1945,8,18.7,24.9,31.2
1945-09,1945,9,16.8,23.9,31
1945-10,1945,10,11.8,19.1,26.3
1945-11,1945,11,4.9,13.3,21.7
1945-12,1945,12,1.3,8.7,16
1946-01,1946,1,0.4,7,13.7
1946-02,1946,2,0.9,9.3,17.6
1946-03,1946,3,4.7,12.9,21
1946-04,1946,4,10.9,19,27
1946-05,1946,5,11.4,19.8,28.1
1946-06,1946,6,18.8,27.2,35.6
1946-07,1946,7,19.2,26,32.8
1946-08,1946,8,18.5,24.7,30.9
1946-09,1946,9,17.4,23.7,30.1
1946-10,1946,10,8.8,16.2,23.6
1946-11,1946,11,2.6,10.4,18.2
1946-12,1946,12,3.6,11.1,18.6
1947-01,1947,1,-0.4,6.5,13.4
1947-02,1947,2,4.2,12.3,20.4
1947-03,1947,3,4.6,12.8,20.9
1947-04,1947,4,7.9,16,24
1947-05,1947,5,13.8,22,30.1
1947-06,1947,6,16.3,24.7,33
1947-07,1947,7,20.1,27.7,35.3
1947-08,1947,8,18.7,24.8,30.9
1947-09,1947,9,17.9,25,32.2
1947-10,1947,10,10.9,19,27.1
1947-11,1947,11,3.1,10.2,17.4
1947-12,1947,12,0.1,7.3,14.5
1948-01,1948,1,0.7,9,17.3
1948-02,1948,2,1,8.3,15.6
1948-03,1948,3,2.5,9.6,16.7
1948-04,1948,4,9.1,17.4,25.8
1948-05,1948,5,12.7,21.4,30.2
1948-06,1948,6,17.3,25.7,34.1
1948-07,1948,7,20.5,27.3,34
1948-08,1948,8,19.4,25.9,32.4
1948-09,1948,9,17.3,24.6,31.9
1948-10,1948,10,11.4,18.5,25.5
1948-11,1948,11,2.2,10.3,18.4
1948-12,1948,12,2.8,9.4,16.1
1949-01,1949,1,-2,3.3,8.6
1949-02,1949,2,0.4,7.9,15.5
1949-03,1949,3,4.2,12.2,20.1
1949-04,1949,4,8.6,16.5,24.5
1949-05,1949,5,12,20.4,28.8
1949-06,1949,6,17.2,25.3,33.3
1949-07,1949,7,19.3,25.7,32.1
1949-08,1949,8,19,25.9,32.7
1949-09,1949,9,17.9,24.6,31.3
1949-10,1949,10,9.5,16.7,23.9
1949-11,1949,11,7.5,16,24.4
1949-12,1949,12,1.5,8.8,16
1950-01,1950,1,1.3,9,16.7
1950-02,1950,2,3.9,11.7,19.5
1950-03,1950,3,5.7,13.6,21.5
1950-04,1950,4,9.9,18.5,27.1
1950-05,1950,5,11.7,19.9,28.2
1950-06,1950,6,17.2,25.8,34.3
1950-07,1950,7,18.8,24.8,30.8
1950-08,1950,8,19.4,26,32.6
1950-09,1950,9,16.1,23.3,30.5
1950-10,1950,10,15,23,30.9
1950-11,1950,11,8.1,16.2,24.3
1950-12,1950,12,5.6,13.2,20.9
1951-01,1951,1,1.5,8.5,15.4
1951-02,1951,2,2.9,9.8,16.8
1951-03,1951,3,4.8,12.3,19.8
1951-04,1951,4,7.8,15.5,23.2
1951-05,1951,5,12.1,20.5,28.9
1951-06,1951,6,16.1,24.8,33.5
1951-07,1951,7,21.2,28.1,35
1951-08,1951,8,19.5,25.8,32.1
1951-09,1951,9,18.4,25.9,33.4
1951-10,1951,10,12.5,19.7,27
1951-11,1951,11,5.6,12.5,19.4
1951-12,1951,12,2.9,9.3,15.6
1952-01,1952,1,2.6,9.4,16.3
1952-02,1952,2,1.4,8.8,16.1
1952-03,1952,3,1.2,8.6,16
1952-04,1952,4,7.6,15.2,22.9
1952-05,1952,5,13.5,21.8,30
1952-06,1952,6,17.6,25.7,33.9
1952-07,1952,7,20.5,27.5,34.5
1952-08,1952,8,19.8,26,32.3
1952-09,1952,9,18.4,25.7,33
1952-10,1952,10,11.9,21.3,30.7
1952-11,1952,11,4.1,11.1,18
1952-12,1952,12,1,7.9,14.8
1953-01,1953,1,3.1,11,19
1953-02,1953,2,1.2,9.2,17.2
1953-03,1953,3,5.8,13.3,20.9
1953-04,1953,4,7.7,15.7,23.6
1953-05,1953,5,9.1,17.6,26.1
1953-06,1953,6,18.5,26.7,34.8
1953-07,1953,7,19.9,26.2,32.5
1953-08,1953,8,19.6,26.6,33.6
1953-09,1953,9,14.5,24.7,34.8
1953-10,1953,10,11.6,19.5,27.4
1953-11,1953,11,7,14.6,22.2
1953-12,1953,12,-0.1,7.7,15.5
1954-01,1954,1,2.7,10.2,17.8
1954-02,1954,2,6.2,13.9,21.6
1954-03,1954,3,5.1,12.3,19.5
1954-04,1954,4,10.5,18.9,27.2
1954-05,1954,5,11.7,20.5,29.4
1954-06,1954,6,16.8,25.2,33.6
1954-07,1954,7,20,26.2,32.4
1954-08,1954,8,18.1,23.8,29.5
1954-09,1954,9,17.7,24.5,31.4
1954-10,1954,10,13,20.7,28.4
1954-11,1954,11,7,15.1,23.2
1954-12,1954,12,3,10.8,18.7
1955-01,1955,1,-0.4,6.2,12.7
1955-02,1955,2,-0.1,7.9,15.8
1955-03,1955,3,4.8,13,21.2
1955-04,1955,4,7.3,16,24.7
