"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084300, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084302, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20196321, LBL: West 2)","Water Content, m^3/m^3 (SEN S/N: -1, LBL: East 2)"
19-03-16 09:32:32.0,0.2058,0.1303,0.1957,-0.18202
19-03-16 09:42:32.0,0.2044,0.1303,0.1986,-0.17911
19-03-16 09:52:32.0,0.2029,0.1310,0.1993,-0.17984
19-03-16 10:02:32.0,0.2066,0.1310,0.1986,-0.17257
19-03-16 10:12:32.0,0.2066,0.1310,0.1993,-0.17185
19-03-16 10:22:32.0,0.2073,0.1310,0.1986,-0.17475
19-03-16 10:32:32.0,0.2066,0.1318,0.2000,-0.17475
19-03-16 10:42:32.0,0.2058,0.1318,0.2008,-0.17403
19-03-16 10:52:32.0,0.2073,0.1325,0.2000,-0.16821
19-03-16 11:02:32.0,0.2066,0.1325,0.2008,-0.17330
19-03-16 11:12:32.0,0.2073,0.1325,0.2000,-0.18274
19-03-16 11:22:32.0,0.2073,0.1325,0.2008,-0.17330
19-03-16 11:32:32.0,0.2073,0.1332,0.2008,-0.17112
19-03-16 11:42:32.0,0.2073,0.1332,0.2008,-0.16531
19-03-16 11:52:32.0,0.2073,0.1339,0.2015,-0.17330
19-03-16 12:02:32.0,0.2073,0.1354,0.2015,-0.16531
19-03-16 12:12:32.0,0.2073,0.1347,0.2015,-0.16604
19-03-16 12:22:32.0,0.2073,0.1347,0.2022,-0.16676
19-03-16 12:32:32.0,0.2073,0.1354,0.2015,-0.15441
19-03-16 12:42:32.0,0.2058,0.1383,0.2022,-0.15296
19-03-16 12:52:32.0,0.2073,0.1383,0.2022,-0.16676
19-03-16 13:02:32.0,0.2073,0.1383,0.2029,-0.16531
19-03-16 13:12:32.0,0.2058,0.1383,0.2022,-0.16240
19-03-16 13:22:32.0,0.2058,0.1383,0.2029,-0.17039
19-03-16 13:32:32.0,0.2058,0.1383,0.2037,-0.15950
19-03-16 13:42:32.0,0.2066,0.1397,0.2044,-0.13335
19-03-16 13:52:32.0,0.2080,0.1390,0.2044,-0.14207
19-03-16 14:02:32.0,0.2073,0.1361,0.2044,-0.14352
19-03-16 14:12:32.0,0.2073,0.1361,0.2044,-0.14352
19-03-16 14:22:32.0,0.2073,0.1368,0.2044,-0.15732
19-03-16 14:32:32.0,0.2080,0.1361,0.2044,-0.14207
19-03-16 14:42:32.0,0.2080,0.1361,0.2051,-0.14279
19-03-16 14:52:32.0,0.2080,0.1339,0.2044,-0.13698
19-03-16 15:02:32.0,0.2080,0.1361,0.2022,-0.14788
19-03-16 15:12:32.0,0.2073,0.1332,0.2037,-0.16023
19-03-16 15:22:32.0,0.2080,0.1339,0.2037,-0.13844
19-03-16 15:32:32.0,0.2073,0.1325,0.2037,-0.14279
19-03-16 15:42:32.0,0.2066,0.1318,0.2022,-0.14788
19-03-16 15:52:32.0,0.2073,0.1318,0.2029,-0.15006
19-03-16 16:02:32.0,0.2066,0.1318,0.2022,-0.15441
19-03-16 16:12:32.0,0.2058,0.1310,0.2015,-0.14788
19-03-16 16:22:32.0,0.2051,0.1325,0.2022,-0.15224
19-03-16 16:32:32.0,0.2051,0.1318,0.2015,-0.15441
19-03-16 16:42:32.0,0.2066,0.1303,0.2008,-0.13916
19-03-16 16:52:32.0,0.2022,0.1318,0.2008,-0.19291
19-03-16 17:02:32.0,0.2029,0.1325,0.1993,-0.13771
19-03-16 17:12:32.0,0.2022,0.1281,0.1993,-0.14425
19-03-16 17:22:32.0,0.2044,0.1288,0.1993,-0.14570
19-03-16 17:32:32.0,0.2008,0.1303,0.2000,-0.14860
19-03-16 17:42:32.0,0.2015,0.1303,0.1993,-0.14860
