"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084300, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084302, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20084303, LBL: East2)","Water Content, m³/m³ (SEN S/N: 20196321, LBL: West 2)"
18-06-02 08:14:22.0,0.0330,0.0184,0.0257,0.0286
18-06-02 08:24:22.0,0.0330,0.0206,0.0257,0.0279
18-06-02 08:34:22.0,0.0337,0.0206,0.0264,0.0279
18-06-02 08:44:22.0,0.0337,0.0214,0.0272,0.0286
18-06-02 08:54:22.0,0.0344,0.0221,0.0279,0.0286
18-06-02 09:04:22.0,0.0344,0.0228,0.0286,0.0293
18-06-02 09:14:22.0,0.0352,0.0235,0.0293,0.0293
18-06-02 09:24:22.0,0.0352,0.0250,0.0293,0.0301
18-06-02 09:34:22.0,0.0359,0.0250,0.0301,0.0301
18-06-02 09:44:22.0,0.0366,0.0257,0.0308,0.0308
18-06-02 09:54:22.0,0.0366,0.0264,0.0315,0.0315
18-06-02 10:04:22.0,0.0366,0.0272,0.0315,0.0315
18-06-02 10:14:22.0,0.0373,0.0272,0.0322,0.0322
18-06-02 10:24:22.0,0.0381,0.0279,0.0330,0.0322
18-06-02 10:34:22.0,0.0388,0.0286,0.0337,0.0330
18-06-02 10:44:22.0,0.0395,0.0293,0.0337,0.0330
18-06-02 10:54:22.0,0.0402,0.0293,0.0344,0.0337
18-06-02 11:04:22.0,0.0410,0.0293,0.0352,0.0337
18-06-02 11:14:22.0,0.0410,0.0301,0.0352,0.0344
18-06-02 11:24:22.0,0.0410,0.0308,0.0352,0.0352
18-06-02 11:34:22.0,0.0424,0.0308,0.0359,0.0352
18-06-02 11:44:22.0,0.0431,0.0315,0.0359,0.0352
18-06-02 11:54:22.0,0.0439,0.0315,0.0366,0.0352
18-06-02 12:04:22.0,0.0446,0.0322,0.0366,0.0352
18-06-02 12:14:22.0,0.0446,0.0330,0.0366,0.0352
18-06-02 12:24:22.0,0.0446,0.0330,0.0373,0.0359
18-06-02 12:34:22.0,0.0446,0.0330,0.0373,0.0359
18-06-02 12:44:22.0,0.0439,0.0330,0.0373,0.0366
18-06-02 12:54:22.0,0.0439,0.0337,0.0373,0.0366
18-06-02 13:04:22.0,0.0431,0.0337,0.0381,0.0373
18-06-02 13:14:22.0,0.0431,0.0337,0.0381,0.0373
18-06-02 13:24:22.0,0.0431,0.0337,0.0373,0.0381
18-06-02 13:34:22.0,0.0439,0.0337,0.0381,0.0388
18-06-02 13:44:22.0,0.0439,0.0337,0.0381,0.0381
18-06-02 13:54:22.0,0.0446,0.0330,0.0381,0.0395
18-06-02 14:04:22.0,0.0446,0.0344,0.0373,0.0395
18-06-02 14:14:22.0,0.0453,0.0344,0.0373,0.0395
18-06-02 14:24:22.0,0.0453,0.0352,0.0373,0.0402
18-06-02 14:34:22.0,0.0453,0.0344,0.0373,0.0410
