"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084292, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084293, LBL: West2)","Water Content, m³/m³ (SEN S/N: 20084294, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20084295, LBL: East2)"
19-03-16 09:52:37.0,0.1071,0.1281,0.4659,0.1259
19-03-16 10:02:37.0,0.1092,0.1281,0.3925,0.1259
19-03-16 10:12:37.0,0.1100,0.1274,0.3903,0.1274
19-03-16 10:22:37.0,0.1107,0.1281,0.3911,0.1267
19-03-16 10:32:37.0,0.1114,0.1303,0.3881,0.1274
19-03-16 10:42:37.0,0.1114,0.1288,0.3889,0.1274
19-03-16 10:52:37.0,0.1121,0.1296,0.3925,0.1281
19-03-16 11:02:37.0,0.1129,0.1296,0.3911,0.1281
19-03-16 11:12:37.0,0.1114,0.1310,0.3940,0.1296
19-03-16 11:22:37.0,0.1114,0.1288,0.3961,0.1318
19-03-16 11:32:37.0,0.1121,0.1296,0.3990,0.1318
19-03-16 11:42:37.0,0.1129,0.1296,0.3998,0.1318
19-03-16 11:52:37.0,0.1136,0.1296,0.3998,0.1325
19-03-16 12:02:37.0,0.1143,0.1310,0.3969,0.1325
19-03-16 12:12:37.0,0.1150,0.1296,0.3874,0.1325
19-03-16 12:22:37.0,0.1143,0.1296,0.3540,0.1332
19-03-16 12:32:37.0,0.1150,0.1318,0.3090,0.1332
19-03-16 12:42:37.0,0.1158,0.1325,0.2886,0.1332
19-03-16 12:52:37.0,0.1158,0.1325,0.3351,0.1332
19-03-16 13:02:37.0,0.1194,0.1325,0.3046,0.1339
19-03-16 13:12:37.0,0.1194,0.1332,0.2915,0.1339
19-03-16 13:22:37.0,0.1201,0.1332,0.2683,0.1332
19-03-16 13:32:37.0,0.1201,0.1332,0.3075,0.1339
19-03-16 13:42:37.0,0.1172,0.1332,0.3322,0.1339
19-03-16 13:52:37.0,0.1172,0.1332,0.2872,0.1339
19-03-16 14:02:37.0,0.1216,0.1318,0.1877,0.1325
19-03-16 14:12:37.0,0.1223,0.1310,0.1790,0.1325
19-03-16 14:22:37.0,0.1216,0.1303,0.2966,0.1310
19-03-16 14:32:37.0,0.1216,0.1310,0.2944,0.1310
19-03-16 14:42:37.0,0.1216,0.1303,0.1681,0.1303
19-03-16 14:52:37.0,0.1194,0.1310,0.3591,0.1296
19-03-16 15:02:37.0,0.1209,0.1288,0.3518,0.1281
19-03-16 15:12:37.0,0.1209,0.1281,0.3489,0.1296
19-03-16 15:22:37.0,0.1209,0.1288,0.3475,0.1288
19-03-16 15:32:37.0,0.1209,0.1281,0.3453,0.1288
19-03-16 15:42:37.0,0.1201,0.1267,0.3409,0.1259
19-03-16 15:52:37.0,0.1201,0.1267,0.3373,0.1267
