"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084292, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084293, LBL: West2)","Water Content, m³/m³ (SEN S/N: 20084295, LBL: East2)","Water Content, m³/m³ (SEN S/N: 20327476, LBL: East 1)"
19-03-17 09:19:29.0,0.0983,0.1201,0.1238,0.0845
19-03-17 09:29:29.0,0.1005,0.1209,0.1209,0.0671
19-03-17 09:39:29.0,0.1005,0.1216,0.1216,0.0686
19-03-17 09:49:29.0,0.1012,0.1216,0.1172,0.0613
19-03-17 09:59:29.0,0.1020,0.1216,0.1172,0.0606
19-03-17 10:09:29.0,0.1020,0.1216,0.1194,0.0620
19-03-17 10:19:29.0,0.1020,0.1209,0.1187,0.0620
19-03-17 10:29:29.0,0.1027,0.1216,0.1187,0.0628
19-03-17 10:39:29.0,0.1034,0.1216,0.1194,0.0620
19-03-17 10:49:29.0,0.1034,0.1223,0.1209,0.0642
19-03-17 10:59:29.0,0.1042,0.1230,0.1223,0.0657
19-03-17 11:09:29.0,0.1049,0.1238,0.1223,0.0657
19-03-17 11:19:29.0,0.1049,0.1245,0.1223,0.0664
19-03-17 11:29:29.0,0.1056,0.1252,0.1245,0.0693
19-03-17 11:39:29.0,0.1056,0.1252,0.1252,0.0678
19-03-17 11:49:29.0,0.1071,0.1252,0.1252,0.0686
19-03-17 11:59:29.0,0.1071,0.1259,0.1252,0.0700
19-03-17 12:09:29.0,0.1071,0.1259,0.1267,0.0722
19-03-17 12:19:29.0,0.1078,0.1267,0.1267,0.0715
19-03-17 12:29:29.0,0.1078,0.1267,0.1245,0.0693
19-03-17 12:39:29.0,0.1078,0.1267,0.1238,0.0693
19-03-17 12:49:29.0,0.1085,0.1274,0.1245,0.0693
19-03-17 12:59:29.0,0.1085,0.1274,0.1252,0.0729
19-03-17 13:09:29.0,0.1085,0.1274,0.1245,0.0693
19-03-17 13:19:29.0,0.1085,0.1259,0.1238,0.0678
19-03-17 13:29:29.0,0.1085,0.1259,0.1209,0.0671
19-03-17 13:39:29.0,0.1085,0.1259,0.1238,0.0686
19-03-17 13:49:29.0,0.1085,0.1252,0.1223,0.0678
19-03-17 13:59:29.0,0.1078,0.1245,0.1209,0.0671
19-03-17 14:09:29.0,0.1078,0.1238,0.1216,0.0686
19-03-17 14:19:29.0,0.1085,0.1252,0.1252,0.0707
19-03-17 14:29:29.0,0.1078,0.1245,0.1216,0.0671
19-03-17 14:39:29.0,0.1078,0.1238,0.1223,0.0678
19-03-17 14:49:29.0,0.1085,0.1245,0.1238,0.0693
19-03-17 14:59:29.0,0.1085,0.1245,0.1238,0.0693
19-03-17 15:09:29.0,0.1085,0.1252,0.1245,0.0686
19-03-17 15:19:29.0,0.1092,0.1252,0.1238,0.0700
19-03-17 15:29:29.0,0.1092,0.1252,0.1223,0.0678
19-03-17 15:39:29.0,0.1085,0.1245,0.1201,0.0671
19-03-17 15:49:29.0,0.1085,0.1238,0.1187,0.0642
19-03-17 15:59:29.0,0.1078,0.1223,0.1172,0.0635
19-03-17 16:09:29.0,0.1071,0.1223,0.1172,0.0628
19-03-17 16:19:29.0,0.1063,0.1216,0.1172,0.0642
19-03-17 16:29:29.0,0.1056,0.1209,0.1158,0.0620
19-03-17 16:39:29.0,0.1056,0.1209,0.1158,0.0635
19-03-17 16:49:29.0,0.1056,0.1201,0.1143,0.0613
19-03-17 16:59:29.0,0.1049,0.1201,0.1129,0.0606
19-03-17 17:09:29.0,0.1042,0.1194,0.1150,0.0620
19-03-17 17:19:29.0,0.1034,0.1194,0.1143,0.0620
19-03-17 17:29:29.0,0.1034,0.1187,0.1187,0.0664
19-03-17 17:39:29.0,0.1027,0.1187,0.1129,0.0606
