"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084292, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084293, LBL: West2)","Water Content, m³/m³ (SEN S/N: 20084294, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20084295, LBL: East2)"
18-06-02 08:08:29.0,0.0322,0.0322,0.0272,0.0410
18-06-02 08:18:29.0,0.0352,0.0330,0.0272,0.0424
18-06-02 08:28:29.0,0.0352,0.0337,0.0279,0.0424
18-06-02 08:38:29.0,0.0359,0.0344,0.0279,0.0431
18-06-02 08:48:29.0,0.0366,0.0352,0.0279,0.0446
18-06-02 08:58:29.0,0.0373,0.0359,0.0286,0.0453
18-06-02 09:08:29.0,0.0381,0.0366,0.0286,0.0460
18-06-02 09:18:29.0,0.0373,0.0366,0.0286,0.0468
18-06-02 09:28:29.0,0.0381,0.0366,0.0293,0.0482
18-06-02 09:38:29.0,0.0388,0.0373,0.0301,0.0490
18-06-02 09:48:29.0,0.0410,0.0373,0.0301,0.0490
18-06-02 09:58:29.0,0.0410,0.0381,0.0315,0.0497
18-06-02 10:08:29.0,0.0417,0.0388,0.0315,0.0504
18-06-02 10:18:29.0,0.0410,0.0381,0.0308,0.0504
18-06-02 10:28:29.0,0.0417,0.0388,0.0322,0.0511
18-06-02 10:38:29.0,0.0417,0.0388,0.0322,0.0519
18-06-02 10:48:29.0,0.0439,0.0395,0.0322,0.0526
18-06-02 10:58:29.0,0.0439,0.0410,0.0330,0.0519
18-06-02 11:08:29.0,0.0439,0.0402,0.0337,0.0533
18-06-02 11:18:29.0,0.0453,0.0410,0.0344,0.0533
18-06-02 11:28:29.0,0.0453,0.0410,0.0344,0.0533
18-06-02 11:38:29.0,0.0453,0.0417,0.0344,0.0540
18-06-02 11:48:29.0,0.0468,0.0424,0.0352,0.0548
18-06-02 11:58:29.0,0.0468,0.0424,0.0352,0.0548
18-06-02 12:08:29.0,0.0468,0.0417,0.0352,0.0548
18-06-02 12:18:29.0,0.0475,0.0424,0.0359,0.0562
18-06-02 12:28:29.0,0.0482,0.0417,0.0366,0.0562
18-06-02 12:38:29.0,0.0482,0.0424,0.0366,0.0569
18-06-02 12:48:29.0,0.0482,0.0424,0.0366,0.0569
