precip,clip,week,year,dailyavg
Ambient,Clipped,33,2017,NA
Ambient,Clipped,34,2017,NA
Ambient,Clipped,35,2017,NA
Ambient,Clipped,36,2017,NA
Ambient,Unclipped,33,2017,NA
Ambient,Unclipped,34,2017,NA
Ambient,Unclipped,35,2017,NA
Ambient,Unclipped,36,2017,NA
Wet,Clipped,33,2017,NA
Wet,Clipped,34,2017,NA
Wet,Clipped,35,2017,NA
Wet,Clipped,36,2017,NA
Wet,Unclipped,33,2017,NA
Wet,Unclipped,34,2017,NA
Wet,Unclipped,35,2017,NA
Wet,Unclipped,36,2017,NA
Drought,Clipped,33,2017,NA
Drought,Clipped,34,2017,NA
Drought,Clipped,35,2017,NA
Drought,Clipped,36,2017,NA
Drought,Unclipped,33,2017,NA
Drought,Unclipped,34,2017,NA
Drought,Unclipped,35,2017,NA
Drought,Unclipped,36,2017,NA
